,Topic,Username,Repo_name,URL,Stars
0,3D,mrdoob,three.js,https://github.com/mrdoob/three.js,73200
1,3D,libgdx,libgdx,https://github.com/libgdx/libgdx,18700
2,3D,BabylonJS,Babylon.js,https://github.com/BabylonJS/Babylon.js,14500
3,3D,pmndrs,react-three-fiber,https://github.com/pmndrs/react-three-fiber,14100
4,3D,aframevr,aframe,https://github.com/aframevr/aframe,12900
5,3D,ssloy,tinyrenderer,https://github.com/ssloy/tinyrenderer,11000
6,3D,lettier,3d-game-shaders-for-beginners,https://github.com/lettier/3d-game-shaders-for-beginners,10800
7,3D,FreeCAD,FreeCAD,https://github.com/FreeCAD/FreeCAD,9600
8,3D,metafizzy,zdog,https://github.com/metafizzy/zdog,8600
9,3D,CesiumGS,cesium,https://github.com/CesiumGS/cesium,7300
10,3D,timzhang642,3D-Machine-Learning,https://github.com/timzhang642/3D-Machine-Learning,6900
11,3D,a1studmuffin,SpaceshipGenerator,https://github.com/a1studmuffin/SpaceshipGenerator,6800
12,3D,isl-org,Open3D,https://github.com/isl-org/Open3D,4900
13,3D,spritejs,spritejs,https://github.com/spritejs/spritejs,4600
14,3D,tensorspace-team,tensorspace,https://github.com/tensorspace-team/tensorspace,4500
15,3D,jagenjo,webglstudio.js,https://github.com/jagenjo/webglstudio.js,4400
16,3D,YadiraF,PRNet,https://github.com/YadiraF/PRNet,4400
17,3D,AaronJackson,vrn,https://github.com/AaronJackson/vrn,4400
18,3D,openscad,openscad,https://github.com/openscad/openscad,4100
19,3D,domlysz,BlenderGIS,https://github.com/domlysz/BlenderGIS,4100
20,3D,ssloy,tinyraytracer,https://github.com/ssloy/tinyraytracer,3800
21,3D,mosra,magnum,https://github.com/mosra/magnum,3600
22,3D,google,model-viewer,https://github.com/google/model-viewer,3200
23,3D,gfxfundamentals,webgl-fundamentals,https://github.com/gfxfundamentals/webgl-fundamentals,3100
24,3D,blender,blender,https://github.com/blender/blender,3100
25,3D,cleardusk,3DDFA,https://github.com/cleardusk/3DDFA,3000
26,3D,jasonlong,isometric-contributions,https://github.com/jasonlong/isometric-contributions,3000
27,3D,antvis,L7,https://github.com/antvis/L7,2400
28,3D,cnr-isti-vclab,meshlab,https://github.com/cnr-isti-vclab/meshlab,2300
29,3D,pissang,claygl,https://github.com/pissang/claygl,2300
0,Ajax,metafizzy,infinite-scroll,https://github.com/metafizzy/infinite-scroll,6900
1,Ajax,ljianshu,Blog,https://github.com/ljianshu/Blog,6600
2,Ajax,developit,unfetch,https://github.com/developit/unfetch,5100
3,Ajax,jquery-form,form,https://github.com/jquery-form/form,5100
4,Ajax,Studio-42,elFinder,https://github.com/Studio-42/elFinder,4100
5,Ajax,olifolkerd,tabulator,https://github.com/olifolkerd/tabulator,4100
6,Ajax,ded,reqwest,https://github.com/ded/reqwest,2900
7,Ajax,dwyl,learn-to-send-email-via-google-script-html-no-server,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server,2600
8,Ajax,LeaVerou,bliss,https://github.com/LeaVerou/bliss,2300
9,Ajax,elbywan,wretch,https://github.com/elbywan/wretch,2200
10,Ajax,noelboss,featherlight,https://github.com/noelboss/featherlight,2000
11,Ajax,craftpip,jquery-confirm,https://github.com/craftpip/jquery-confirm,1700
12,Ajax,wendux,Ajax-hook,https://github.com/wendux/Ajax-hook,1700
13,Ajax,ptaoussanis,sente,https://github.com/ptaoussanis/sente,1600
14,Ajax,yisainan,web-interview,https://github.com/yisainan/web-interview,1500
15,Ajax,joaomilho,Enterprise,https://github.com/joaomilho/Enterprise,1500
16,Ajax,nette,tracy,https://github.com/nette/tracy,1400
17,Ajax,u014427391,jeeplatform,https://github.com/u014427391/jeeplatform,1300
18,Ajax,MoOx,pjax,https://github.com/MoOx/pjax,1200
19,Ajax,loadingio,css-spinner,https://github.com/loadingio/css-spinner,1100
20,Ajax,codingforentrepreneurs,eCommerce,https://github.com/codingforentrepreneurs/eCommerce,1100
21,Ajax,danielm,uploader,https://github.com/danielm/uploader,1100
22,Ajax,renderedtext,render_async,https://github.com/renderedtext/render_async,1000
23,Ajax,swlib,saber,https://github.com/swlib/saber,914
24,Ajax,webcreate,infinite-ajax-scroll,https://github.com/webcreate/infinite-ajax-scroll,823
25,Ajax,opensource-socialnetwork,opensource-socialnetwork,https://github.com/opensource-socialnetwork/opensource-socialnetwork,762
26,Ajax,proyecto26,RestClient,https://github.com/proyecto26/RestClient,762
27,Ajax,rapidjs,rapid.js,https://github.com/rapidjs/rapid.js,706
28,Ajax,csxiaoyaojianxian,JavaScriptStudy,https://github.com/csxiaoyaojianxian/JavaScriptStudy,552
29,Ajax,cferdinandi,atomic,https://github.com/cferdinandi/atomic,530
0,Algorithm,jwasham,coding-interview-university,https://github.com/jwasham/coding-interview-university,189000
1,Algorithm,CyC2018,CS-Notes,https://github.com/CyC2018/CS-Notes,136000
2,Algorithm,trekhleb,javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,115000
3,Algorithm,TheAlgorithms,Python,https://github.com/TheAlgorithms/Python,114000
4,Algorithm,yangshun,tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,55800
5,Algorithm,kdn251,interviews,https://github.com/kdn251/interviews,53200
6,Algorithm,azl397985856,leetcode,https://github.com/azl397985856/leetcode,43400
7,Algorithm,algorithm-visualizer,algorithm-visualizer,https://github.com/algorithm-visualizer/algorithm-visualizer,35100
8,Algorithm,crossoverJie,JCSprout,https://github.com/crossoverJie/JCSprout,26300
9,Algorithm,donnemartin,interactive-coding-challenges,https://github.com/donnemartin/interactive-coding-challenges,23300
10,Algorithm,huihut,interview,https://github.com/huihut/interview,19700
11,Algorithm,keon,algorithms,https://github.com/keon/algorithms,19500
12,Algorithm,halfrost,LeetCode-Go,https://github.com/halfrost/LeetCode-Go,19300
13,Algorithm,trekhleb,homemade-machine-learning,https://github.com/trekhleb/homemade-machine-learning,18100
14,Algorithm,mxgmn,WaveFunctionCollapse,https://github.com/mxgmn/WaveFunctionCollapse,16700
15,Algorithm,youngyangyang04,leetcode-master,https://github.com/youngyangyang04/leetcode-master,14000
16,Algorithm,TheAlgorithms,C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,13600
17,Algorithm,AtsushiSakai,PythonRobotics,https://github.com/AtsushiSakai/PythonRobotics,12800
18,Algorithm,OpenGenus,cosmos,https://github.com/OpenGenus/cosmos,12700
19,Algorithm,greyireland,algorithm-pattern,https://github.com/greyireland/algorithm-pattern,12400
20,Algorithm,TheAlgorithms,Javascript,https://github.com/TheAlgorithms/Javascript,11800
21,Algorithm,williamfiset,Algorithms,https://github.com/williamfiset/Algorithms,10500
22,Algorithm,apachecn,apachecn-algo-zh,https://github.com/apachecn/apachecn-algo-zh,10400
23,Algorithm,halfrost,Halfrost-Field,https://github.com/halfrost/Halfrost-Field,9300
24,Algorithm,lnishan,awesome-competitive-programming,https://github.com/lnishan/awesome-competitive-programming,8600
25,Algorithm,Blankj,awesome-java-leetcode,https://github.com/Blankj/awesome-java-leetcode,8200
26,Algorithm,jeffgerickson,algorithms,https://github.com/jeffgerickson/algorithms,7200
27,Algorithm,mgechev,javascript-algorithms,https://github.com/mgechev/javascript-algorithms,6800
28,Algorithm,LeetCode-OpenSource,vscode-leetcode,https://github.com/LeetCode-OpenSource/vscode-leetcode,6700
29,Algorithm,OlafenwaMoses,ImageAI,https://github.com/OlafenwaMoses/ImageAI,6400
0,Amp,amphp,amp,https://github.com/amphp/amp,3300
1,Amp,danog,MadelineProto,https://github.com/danog/MadelineProto,1600
2,Amp,amphp,http-server,https://github.com/amphp/http-server,1100
3,Amp,unreal4u,telegram-api,https://github.com/unreal4u/telegram-api,659
4,Amp,amphp,http-client,https://github.com/amphp/http-client,575
5,Amp,amphp,parallel,https://github.com/amphp/parallel,505
6,Amp,php-service-bus,service-bus,https://github.com/php-service-bus/service-bus,296
7,Amp,amphp,mysql,https://github.com/amphp/mysql,241
8,Amp,amphp,byte-stream,https://github.com/amphp/byte-stream,239
9,Amp,amphp,parallel-functions,https://github.com/amphp/parallel-functions,191
10,Amp,amphp,process,https://github.com/amphp/process,136
11,Amp,amphp,socket,https://github.com/amphp/socket,135
12,Amp,amphp,redis,https://github.com/amphp/redis,114
13,Amp,kelunik,acme,https://github.com/kelunik/acme,103
14,Amp,amphp,dns,https://github.com/amphp/dns,93
15,Amp,PeeHaa,mailgrab,https://github.com/PeeHaa/mailgrab,92
16,Amp,amphp,websocket-client,https://github.com/amphp/websocket-client,88
17,Amp,amphp,sync,https://github.com/amphp/sync,78
18,Amp,jolicode,asynit,https://github.com/jolicode/asynit,67
19,Amp,amphp,websocket-server,https://github.com/amphp/websocket-server,65
20,Amp,amphp,postgres,https://github.com/amphp/postgres,57
21,Amp,amphp,file,https://github.com/amphp/file,56
22,Amp,amphp,cache,https://github.com/amphp/cache,55
23,Amp,amphp,beanstalk,https://github.com/amphp/beanstalk,54
24,Amp,amphp,windows-registry,https://github.com/amphp/windows-registry,51
25,Amp,amphp,hpack,https://github.com/amphp/hpack,50
26,Amp,amphp,serialization,https://github.com/amphp/serialization,48
27,Amp,phpinnacle,ridge,https://github.com/phpinnacle/ridge,42
28,Amp,Room-11,Jeeves,https://github.com/Room-11/Jeeves,41
29,Amp,amphp,aerys,https://github.com/amphp/aerys,40
0,Android,flutter,flutter,https://github.com/flutter/flutter,127000
1,Android,justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,81700
2,Android,Genymobile,scrcpy,https://github.com/Genymobile/scrcpy,52600
3,Android,Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,45200
4,Android,google,material-design-icons,https://github.com/google/material-design-icons,43500
5,Android,wasabeef,awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,41000
6,Android,square,okhttp,https://github.com/square/okhttp,40500
7,Android,android,architecture-samples,https://github.com/android/architecture-samples,39200
8,Android,square,retrofit,https://github.com/square/retrofit,38500
9,Android,Solido,awesome-flutter,https://github.com/Solido/awesome-flutter,36800
10,Android,PhilJay,MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,33700
11,Android,fastlane,fastlane,https://github.com/fastlane/fastlane,32700
12,Android,shadowsocks,shadowsocks-android,https://github.com/shadowsocks/shadowsocks-android,31700
13,Android,airbnb,lottie-android,https://github.com/airbnb/lottie-android,31500
14,Android,bumptech,glide,https://github.com/bumptech/glide,31500
15,Android,Trinea,android-open-project,https://github.com/Trinea/android-open-project,30700
